1.000000000000000048e-04 2.177741004398693804e+03
1.044077471516559113e-04 2.269886303013283396e+03
1.090097766528410104e-04 2.365920252459276526e+03
1.138146519782830799e-04 2.466005609754452507e+03
1.188313140590228212e-04 2.570311729596158784e+03
1.240690979197346926e-04 2.679014880319126860e+03
1.295377500493769809e-04 2.792298425843997848e+03
1.352474465374974228e-04 2.910353156982350356e+03
1.412088120099413090e-04 3.033377481063694177e+03
1.474329393991965001e-04 3.161577769302707111e+03
1.539314105861671440e-04 3.295168561642954955e+03
1.607163179517825350e-04 3.434372914501189825e+03
1.678002868785484904e-04 3.579422618188295019e+03
1.751964992439081442e-04 3.730558536312649721e+03
1.829187179491322055e-04 3.888030881410007169e+03
1.909813125293805826e-04 4.052099486108336805e+03
1.993992858925892312e-04 4.223034149749186327e+03
2.081883022369420636e-04 4.401114863930256433e+03
2.173647161988714503e-04 4.586632166746096118e+03
2.269456032858321415e-04 4.779887411978535056e+03
2.369487916504717478e-04 4.981193038817092201e+03
2.473928952653282670e-04 5.190872920359162890e+03
2.582973485597848192e-04 5.409262575708833538e+03
2.696824425837314747e-04 5.636709467489723465e+03
2.815693627652317136e-04 5.873573320334464370e+03
2.939802283324519051e-04 6.120226304532746326e+03
3.069381334732068059e-04 6.377053324400821111e+03
3.204671903087179014e-04 6.644452282100952289e+03
3.345925737615417883e-04 6.922834214257856729e+03
3.493405684011683223e-04 7.212623587999660231e+03
3.647386173544493846e-04 7.514258497231911861e+03
3.808153733718788844e-04 7.828190706975654393e+03
3.976007521447456981e-04 8.154885928461826552e+03
4.151259879723677828e-04 8.494823924347963839e+03
4.334236918830033100e-04 8.848498462081881371e+03
4.525279123165777922e-04 9.216417495180072365e+03
4.724741984821597069e-04 9.599103095874987048e+03
4.932996665080661806e-04 9.997091289937254260e+03
5.150430685077030590e-04 1.041093208279033388e+04
5.377448646896526097e-04 1.084118909784545212e+04
5.614472986461866311e-04 1.128843920860568687e+04
5.861944759603123466e-04 1.175327228936669417e+04
6.120324462776167334e-04 1.223629036086148335e+04
6.390092889956283792e-04 1.273810699253617531e+04
6.671752027301498279e-04 1.325934663070550596e+04
6.965825987250418277e-04 1.380064308455754326e+04
7.272861983792756283e-04 1.436263884724456329e+04
7.593431350727247037e-04 1.494598363477753810e+04
7.928130604801865737e-04 1.555133157729743107e+04
8.277582555714580381e-04 1.617934348724605661e+04
8.642437465040047695e-04 1.683068078213351328e+04
9.023374256238994237e-04 1.750598852167108635e+04
9.421101778001611136e-04 1.820590008500253680e+04
9.836360123276080905e-04 1.893106101428736292e+04
1.026992200643640166e-03 1.968215900643379791e+04
